INVOICE NO,PO NO,INVOICE DATE,AMOUNT,EXPECTED PAYMENT DATE,STATUS,CURRENCY,REASON
ISI-22030515,8700002652,29-Feb-20,5238.26,30-Apr-20,Paid,SAR,
ISI-22030516,8700002673,29-Feb-20,7316.4,30-Apr-20,Paid,SAR,
ISI-22030231,8700002611,8-Feb-20,32822.5,30-Apr-20,Paid,SAR,
ISI-22030389,8700002657,24-Feb-20,10991.48,30-Apr-20,Paid,SAR,
ISI-22030374,8700002611,20-Feb-20,9488.81,30-Apr-20,Paid,SAR,
ISI-22030334,8700002611,19-Feb-20,13764.68,30-Apr-20,Paid,SAR,
ISI-22030392,8700002657,24-Feb-20,3480.92,30-Apr-20,Paid,SAR,
MSI-22030014,4502147898,11-Feb-20,67410,30-Apr-20,Paid,SAR,
MSI-22030011,4502144926,11-Feb-20,80640,30-Apr-20,Paid,SAR,
MSI-22030012,4502138587,11-Feb-20,7560,30-Apr-20,Paid,SAR,
ISI-22030425,8700002611,24-Feb-20,5136.96,30-Apr-20,Paid,SAR,
MSI-22030013,4502144929,11-Feb-20,52920,30-Apr-20,Paid,SAR,
ISI-22030430,8700002611,26-Feb-20,32256.36,30-Apr-20,Paid,SAR,
ISI-22030668,8700002673,25-Mar-20,76940.39,4-Jun-20,Paid,SAR,
ISI-22030654,8700002673,23-Mar-20,15393.28,4-Jun-20,Paid,SAR,
ISI-22030611,8700002673,16-Mar-20,14632.8,4-Jun-20,Paid,SAR,
ISI-22030587,8700002673,15-Mar-20,41368.61,4-Jun-20,Paid,SAR,
ISI-22030689,8700002673,24-Mar-20,75218.22,4-Jun-20,Paid,SAR,
ISI-22030571,8700002673,11-Mar-20,21611.52,4-Jun-20,Paid,SAR,
ISI-22030707,8700002673,29-Mar-20,21119.07,4-Jun-20,Paid,SAR,
ISI-22030572,8700002673,11-Mar-20,32417.28,4-Jun-20,Paid,SAR,
ISI-22030690,8700002673,24-Mar-20,43965.94,4-Jun-20,Paid,SAR,
ISI-22030589,8700002673,15-Mar-20,10179.65,4-Jun-20,Paid,SAR,
ISI-22030583,8700002673,15-Mar-20,10918.32,4-Jun-20,Paid,SAR,
ISI-22030612,8700002673,16-Mar-20,46093.32,4-Jun-20,Paid,SAR,
ISI-22030657,8700002673,23-Mar-20,15519.21,4-Jun-20,Paid,SAR,
ISI-22030685,8700002673,26-Mar-20,61376.15,4-Jun-20,Paid,SAR,
ISI-22030667,8700002673,24-Mar-20,55034.81,4-Jun-20,Paid,SAR,
ISI-22030629,8700002673,18-Mar-20,7316.4,4-Jun-20,Paid,SAR,
ISI-22030603,8700002673,16-Mar-20,21949.2,4-Jun-20,Paid,SAR,
